集計年,都道府県コード,都道府県名,男女区分,0〜4歳（人）,5〜9歳（人）,10〜14歳（人）,15〜19歳（人）,20〜24歳（人）,25〜29歳（人）,30〜34歳（人）,35〜39歳（人）,40〜44歳（人）,45〜49歳（人）,50〜54歳（人）,55〜59歳（人）,60〜64歳（人）,65〜69歳（人）,70〜74歳（人）,75〜79歳（人）,80〜84歳（人）,85〜89歳（人）,90歳以上（人）
1980,01,北海道,男,208437,238711,217367,209528,185415,223093,252957,204233,196248,198635,174360,126069,97925,81875,59491,36898,17393,5699,1347
1980,01,北海道,女,199061,226566,208182,200572,191405,236955,267680,220272,205548,196417,173230,146934,116332,94160,69525,46893,25470,9760,3216
